window_index,start_sec,end_sec,label,label_index,reason,airflow_min,airflow_median,low_airflow_fraction,very_low_airflow_fraction,very_low_airflow_run_sec,low_airflow_run_sec,spo2_min,spo2_drop,low_spo2_run_sec,movement_high_fraction,movement_high_run_sec,snoring_high_fraction,snoring_high_run_sec
0,0,60,Normal,0,No sustained airflow reduction with oxygen drop,30.0,31.0,0.0,0.0,0.0,0.0,65.0,34.0,13.666666666666666,0.13333333333333333,4.0,0.05555555555555555,2.3333333333333335
1,60,120,Normal,0,No sustained airflow reduction with oxygen drop,29.077991452991448,31.0,0.0,0.0,0.0,0.0,71.0,25.0,11.333333333333334,0.13333333333333333,4.0,0.07222222222222222,1.6666666666666667
2,120,180,Normal,0,No sustained airflow reduction with oxygen drop,30.0,31.0,0.0,0.0,0.0,0.0,71.0,25.0,10.333333333333334,0.0,0.0,0.044444444444444446,1.0
3,180,240,Normal,0,No sustained airflow reduction with oxygen drop,30.18835978835982,31.0,0.0,0.0,0.0,0.0,65.0,31.0,14.333333333333334,0.06666666666666667,4.0,0.0,0.0
4,240,300,Normal,0,No sustained airflow reduction with oxygen drop,30.0,31.0,0.0,0.0,0.0,0.0,76.0,20.0,4.666666666666667,0.0,0.0,0.0,0.0
5,300,360,Normal,0,No sustained airflow reduction with oxygen drop,30.0,31.0,0.0,0.0,0.0,0.0,76.0,23.0,3.6666666666666665,0.09444444444444444,4.0,0.03333333333333333,1.0
6,360,420,Normal,0,No sustained airflow reduction with oxygen drop,30.0,31.0,0.0,0.0,0.0,0.0,65.0,33.0,6.333333333333333,0.06666666666666667,4.0,0.05,1.3333333333333333
7,420,480,Normal,0,No sustained airflow reduction with oxygen drop,30.0,31.0,0.0,0.0,0.0,0.0,65.0,28.0,36.333333333333336,0.0,0.0,0.0,0.0
8,480,540,Normal,0,No sustained airflow reduction with oxygen drop,30.20000000000007,31.0,0.0,0.0,0.0,0.0,65.0,27.0,24.333333333333332,0.06666666666666667,4.0,0.0,0.0
9,540,600,Normal,0,No sustained airflow reduction with oxygen drop,30.0,31.0,0.0,0.0,0.0,0.0,81.0,14.0,6.333333333333333,0.0,0.0,0.0,0.0
10,600,660,Normal,0,No sustained airflow reduction with oxygen drop,30.0,31.0,0.0,0.0,0.0,0.0,65.0,32.0,6.333333333333333,0.03333333333333333,2.0,0.0,0.0
11,660,720,Normal,0,No sustained airflow reduction with oxygen drop,30.0,31.0,0.0,0.0,0.0,0.0,86.0,10.0,10.333333333333334,0.0,0.0,0.0,0.0
12,720,780,Normal,0,No sustained airflow reduction with oxygen drop,30.049844236760023,31.0,0.0,0.0,0.0,0.0,84.0,11.0,6.0,0.0,0.0,0.0,0.0
13,780,840,Normal,0,No sustained airflow reduction with oxygen drop,30.0,31.0,0.0,0.0,0.0,0.0,65.0,26.0,20.0,0.0,0.0,0.0,0.0
14,840,900,Normal,0,No sustained airflow reduction with oxygen drop,30.264583333333192,31.0,0.0,0.0,0.0,0.0,65.0,29.0,14.333333333333334,0.07222222222222222,4.333333333333333,0.0,0.0
15,900,960,Normal,0,No sustained airflow reduction with oxygen drop,31.0,31.0,0.0,0.0,0.0,0.0,65.0,33.0,22.333333333333332,0.12222222222222222,5.666666666666667,0.0,0.0
16,960,1020,Normal,0,No sustained airflow reduction with oxygen drop,30.0,31.0,0.0,0.0,0.0,0.0,81.0,11.0,16.0,0.0,0.0,0.0,0.0
17,1020,1080,Normal,0,No sustained airflow reduction with oxygen drop,30.0,31.0,0.0,0.0,0.0,0.0,65.0,30.0,12.0,0.13333333333333333,4.0,0.0,0.0
18,1080,1140,Normal,0,No sustained airflow reduction with oxygen drop,30.0,31.0,0.0,0.0,0.0,0.0,87.0,7.0,16.666666666666668,0.0,0.0,0.0,0.0
19,1140,1200,Normal,0,No sustained airflow reduction with oxygen drop,30.0,31.0,0.0,0.0,0.0,0.0,67.0,32.0,10.666666666666666,0.0,0.0,0.0,0.0
20,1200,1260,Normal,0,No sustained airflow reduction with oxygen drop,29.247144340602237,31.0,0.0,0.0,0.0,0.0,65.0,29.0,6.333333333333333,0.0,0.0,0.0,0.0
21,1260,1320,Normal,0,No sustained airflow reduction with oxygen drop,30.0,31.0,0.0,0.0,0.0,0.0,79.0,20.0,9.0,0.027777777777777776,1.6666666666666667,0.0,0.0
22,1320,1380,Normal,0,No sustained airflow reduction with oxygen drop,30.0,31.0,0.0,0.0,0.0,0.0,65.0,32.0,33.333333333333336,0.1,6.0,0.027777777777777776,1.6666666666666667
23,1380,1440,Normal,0,No sustained airflow reduction with oxygen drop,30.14226375908617,31.0,0.0,0.0,0.0,0.0,92.0,7.0,0.0,0.0,0.0,0.03333333333333333,1.0
24,1440,1500,Normal,0,No sustained airflow reduction with oxygen drop,31.0,31.0,0.0,0.0,0.0,0.0,92.0,2.0,0.0,0.0,0.0,0.0,0.0
25,1500,1560,Normal,0,No sustained airflow reduction with oxygen drop,30.153116531165946,31.0,0.0,0.0,0.0,0.0,80.0,15.0,10.0,0.03333333333333333,2.0,0.0,0.0
26,1560,1620,Normal,0,No sustained airflow reduction with oxygen drop,30.0,31.0,0.0,0.0,0.0,0.0,65.0,30.0,10.333333333333334,0.0,0.0,0.0,0.0
27,1620,1680,Normal,0,No sustained airflow reduction with oxygen drop,30.0,31.0,0.0,0.0,0.0,0.0,92.0,3.0,0.0,0.08333333333333333,5.0,0.0,0.0
28,1680,1740,Normal,0,No sustained airflow reduction with oxygen drop,30.0,31.0,0.0,0.0,0.0,0.0,78.0,17.0,10.0,0.11666666666666667,4.0,0.0,0.0
29,1740,1800,Normal,0,No sustained airflow reduction with oxygen drop,30.0,31.0,0.0,0.0,0.0,0.0,78.0,19.0,10.0,0.06666666666666667,4.0,0.0,0.0
30,1800,1860,Normal,0,No sustained airflow reduction with oxygen drop,30.0,31.0,0.0,0.0,0.0,0.0,95.0,2.0,0.0,0.0,0.0,0.0,0.0
31,1860,1920,Normal,0,No sustained airflow reduction with oxygen drop,30.030020703934202,31.0,0.0,0.0,0.0,0.0,65.0,31.0,16.333333333333332,0.13333333333333333,4.0,0.0,0.0
32,1920,1980,Normal,0,No sustained airflow reduction with oxygen drop,30.0,31.0,0.0,0.0,0.0,0.0,80.0,14.0,2.6666666666666665,0.09444444444444444,2.0,0.0,0.0
33,1980,2040,Normal,0,No sustained airflow reduction with oxygen drop,30.0,31.0,0.0,0.0,0.0,0.0,80.0,16.0,8.0,0.06666666666666667,4.0,0.03333333333333333,2.0
34,2040,2100,Normal,0,No sustained airflow reduction with oxygen drop,30.0,31.0,0.0,0.0,0.0,0.0,65.0,31.0,30.0,0.0,0.0,0.022222222222222223,1.3333333333333333
35,2100,2160,Normal,0,No sustained airflow reduction with oxygen drop,29.07395833333273,31.0,0.0,0.0,0.0,0.0,85.0,10.0,12.333333333333334,0.1,6.0,0.0,0.0
36,2160,2220,Normal,0,No sustained airflow reduction with oxygen drop,30.0,31.0,0.0,0.0,0.0,0.0,89.0,6.0,0.0,0.022222222222222223,1.3333333333333333,0.0,0.0
37,2220,2280,Normal,0,No sustained airflow reduction with oxygen drop,30.0,31.0,0.0,0.0,0.0,0.0,65.0,29.0,25.0,0.005555555555555556,0.3333333333333333,0.0,0.0
38,2280,2340,Normal,0,No sustained airflow reduction with oxygen drop,30.0,31.0,0.0,0.0,0.0,0.0,65.0,32.0,31.333333333333332,0.1,6.0,0.0,0.0
39,2340,2400,Normal,0,No sustained airflow reduction with oxygen drop,30.0,31.0,0.0,0.0,0.0,0.0,84.0,11.0,2.0,0.03333333333333333,2.0,0.0,0.0
40,2400,2460,Normal,0,No sustained airflow reduction with oxygen drop,30.081249999999574,31.0,0.0,0.0,0.0,0.0,90.0,4.0,0.0,0.0,0.0,0.0,0.0
41,2460,2520,Normal,0,No sustained airflow reduction with oxygen drop,29.182762201452825,31.0,0.0,0.0,0.0,0.0,69.0,26.0,16.333333333333332,0.13333333333333333,4.0,0.06111111111111111,2.0
42,2520,2580,Normal,0,No sustained airflow reduction with oxygen drop,30.0,31.0,0.0,0.0,0.0,0.0,87.0,8.0,6.333333333333333,0.23333333333333334,10.0,0.0,0.0
